Problem nbvar max_dom nbconstr max_arity tb2_glb_snc_lap_cputime tb2_glb_snc_lap_bestsol tb2_glb_snc_lap_status tb2_glb_snc_lap_bestbound tb2_glb_snc_lap_nbnodes tb2_glb_snc_lap_wdeg_cputime tb2_glb_snc_lap_wdeg_bestsol tb2_glb_snc_lap_wdeg_status tb2_glb_snc_lap_wdeg_bestbound tb2_glb_snc_lap_wdeg_nbnodes tb2_glb_sap_cputime tb2_glb_sap_bestsol tb2_glb_sap_status tb2_glb_sap_bestbound tb2_glb_sap_nbnodes tb2_glb_sap_wdeg_cputime tb2_glb_sap_wdeg_bestsol tb2_glb_sap_wdeg_status tb2_glb_sap_wdeg_bestbound tb2_glb_sap_wdeg_nbnodes tb2_glb_sap_wdeg_camb_10_cputime tb2_glb_sap_wdeg_camb_10_bestsol tb2_glb_sap_wdeg_camb_10_status tb2_glb_sap_wdeg_camb_10_bestbound tb2_glb_sap_wdeg_camb_10_nbnodes tb2_glb_snc_sap_cputime tb2_glb_snc_sap_bestsol tb2_glb_snc_sap_status tb2_glb_snc_sap_bestbound tb2_glb_snc_sap_nbnodes ortools_cpsat_cputime ortools_cpsat_bestsol ortools_cpsat_status ortools_cpsat_bestbound ortools_cpsat_nbnodes hexaly_cputime hexaly_bestsol hexaly_status hexaly_bestbound hexaly_nbnodes CPLEX_cputime CPLEX_bestsol CPLEX_status CPLEX_bestbound CPLEX_nbnodes tb2_lap_cputime tb2_lap_bestsol tb2_lap_status tb2_lap_bestbound tb2_lap_nbnodes
chr15a 15 15 121 15 0.133 9896 OPT 9896 515 0.128 9896 OPT 9896 526 0.907 9896 OPT 9896 14493 0.847 9896 OPT 9896 14548 0.797 9896 OPT 9896 10959 1.297 9896 OPT 9896 8612 10.9597 9896.0 OPT 9896.0 52487 1200 9896 FEAS 0 346511758 20.24 9896.0 OPT 9896.0 101889 0.083 9896 OPT 9896 1003
chr15b 15 15 121 15 0.092 7990 OPT 7990 104 0.093 7990 OPT 7990 106 0.896 7990 OPT 7990 16310 1.6 7990 OPT 7990 31672 1.137 7990 OPT 7990 16614 1.178 7990 OPT 7990 7218 8.16547 7990.0 OPT 7990.0 43994 1200 7990 FEAS 0 349031916 45.11 7990.0 OPT 7990.0 386010 0.042 7990 OPT 7990 562
chr15c 15 15 121 15 0.091 9504 OPT 9504 182 0.094 9504 OPT 9504 196 0.324 9504 OPT 9504 4627 0.33 9504 OPT 9504 5260 0.468 9504 OPT 9504 6382 0.799 9504 OPT 9504 5021 8.07703 9504.0 OPT 9504.0 57660 1200 9504 FEAS 0 342318935 0.91 9504.0 OPT 9504.0 7977 0.156 9504 OPT 9504 2048
chr18a 18 18 172 18 0.784 11098 OPT 11098 1695 0.739 11098 OPT 11098 1382 7.023 11098 OPT 11098 96654 3.572 11098 OPT 11098 48179 4.498 11098 OPT 11098 53071 2.668 11098 OPT 11098 14303 32.347 11098.0 OPT 11098.0 59239 1200 11098 FEAS 0 334776450 59.29 11098.0 OPT 11098.0 349118 0.824 11098 OPT 11098 7560
chr18b 18 18 172 18 0.027 1534 OPT 1534 185 0.027 1534 OPT 1534 142 0.107 1534 OPT 1534 3422 0.208 1534 OPT 1534 8599 0.264 1534 OPT 1534 9849 0.114 1534 OPT 1534 3422 14.977 1534.0 OPT 1534.0 24188 1200 1534 FEAS 0 329726209 71.34 1534.0 OPT 1534.0 130661 0.025 1534 OPT 1534 334
chr20a 20 20 211 20 0.086 2192 OPT 2192 503 0.088 2192 OPT 2192 695 6.914 2192 OPT 2192 199705 6.58 2192 OPT 2192 190350 6.523 2192 OPT 2192 171057 6.041 2192 OPT 2192 167611 19.7073 2192.0 OPT 2192.0 65799 1200 2224 FEAS 0 333657296 269.95 2192.0 OPT 2192.0 588535 0.075 2192 OPT 2192 705
chr20b 20 20 211 20 0.503 2298 OPT 2298 5085 0.648 2298 OPT 2298 7512 7.477 2298 OPT 2298 213233 30.583 2298 OPT 2298 814660 7.901 2298 OPT 2298 188770 6.815 2298 OPT 2298 180042 33.0859 2298.0 OPT 2298.0 60380 1200 2372 FEAS 0 309457042 436.51 2298.0 OPT 2298.0 1430946 0.442 2298 OPT 2298 6717
chr20c 20 20 211 20 0.271 14142 OPT 14142 650 0.306 14142 OPT 14142 1043 19.389 14142 OPT 14142 246505 21.098 14142 OPT 14142 327345 22.0 14142 OPT 14142 233507 15.308 14142 OPT 14142 112144 16.4914 14142.0 OPT 14142.0 18024 1200 14142 FEAS 0 328347303 1200.0 15000.0 FEAS 10830.452432 4119593 0.363 14142 OPT 14142 3124
chr22a 22 22 254 22 0.566 6156 OPT 6156 546 0.539 6156 OPT 6156 616 3.185 6156 OPT 6156 40614 2.367 6156 OPT 6156 32798 5.734 6156 OPT 6156 64167 3.208 6156 OPT 6156 16357 279.679 6156.0 OPT 6156.0 1179434 1200 6268 FEAS 0 326590703 228.84 6156.0 OPT 6156.0 477415 0.81 6156 OPT 6156 5754
chr22b 22 22 254 22 1.276 6194 OPT 6194 7112 0.982 6194 OPT 6194 5405 56.694 6194 OPT 6194 695491 25.155 6194 OPT 6194 312732 33.244 6194 OPT 6194 311916 36.9 6194 OPT 6194 292325 269.838 6194.0 OPT 6194.0 1061659 1200 6384 FEAS 0 331152522 441.28 6194.0 OPT 6194.0 994700 3.365 6194 OPT 6194 25630
chr25a 25 25 326 25 14.269 3796 OPT 3796 41734 10.765 3796 OPT 3796 36058 303.458 3796 OPT 3796 2157152 313.167 3796 OPT 3796 2448144 198.344 3796 OPT 3796 1327897 64.824 3796 OPT 3796 288968 161.141 3796.0 OPT 3796.0 486119 1200 4180 FEAS 0 336615637 1200.0 4676.0 FEAS 3361.5787194 1492157 51.749 3796 OPT 3796 228193
els19 19 19 191 19 6.012 17212548 OPT 17212548 14423 3.512 17212548 OPT 17212548 14808 0.263 17212548 OPT 17212548 376 0.246 17212548 OPT 17212548 286 0.261 17212548 OPT 17212548 350 0.577 17212548 OPT 17212548 227 1200 17367328.0 FEAS 7500348.0 372824 1200 17212548 FEAS 0 97601573 1200.0 21133272.0 FEAS 0.0 1646886 1200 17763816 FEAS 562608 15176052
esc16a 16 9 137 16 124.289 68 OPT 68 3231904 63.779 68 OPT 68 1588277 7.883 68 OPT 68 203330 7.488 68 OPT 68 196975 7.488 68 OPT 68 196975 3.574 68 OPT 68 91448 1200 68.0 FEAS 24.0 2359914 1200 68 FEAS 0 220249272 1200.0 70.0 FEAS 1.0896551724 4165353 40.444 68 OPT 68 791489
esc16b 16 7 137 16 1200 292 FEAS 246 46789505 1200 292 FEAS 246 43589710 11.053 292 OPT 292 392111 11.013 292 OPT 292 365972 11.013 292 OPT 292 365972 15.116 292 OPT 292 539358 1200 292.0 FEAS 68.0 916642 1200 292 FEAS 0 100907975 1200.0 292.0 FEAS 140.50452196 5256085 1200 292 FEAS 48 39396813
esc16c 16 12 137 16 1200 160 FEAS 95 24284289 1200 160 FEAS 99 26232024 726.207 160 OPT 160 14695727 693.763 160 OPT 160 15021678 693.763 160 OPT 160 15021678 665.988 160 OPT 160 13543397 1200 160.0 FEAS 84.0 2589676 1200 160 FEAS 0 179560056 1200.0 160.0 FEAS 44.049435839 4355604 1200 160 FEAS 40 25849856
esc16d 16 12 137 16 6.383 16 OPT 16 231531 9.156 16 OPT 16 353131 827.929 16 OPT 16 28254710 695.909 16 OPT 16 22675641 695.909 16 OPT 16 22675641 730.566 16 OPT 16 25096723 256.819 16.0 OPT 16.0 567268 1200 16 FEAS 0 282722299 839.6 16.0 OPT 16.0 2246939 14.361 16 OPT 16 394763
esc16e 16 8 137 16 2.246 28 OPT 28 61123 1.52 28 OPT 28 41445 9.415 28 OPT 28 340793 6.342 28 OPT 28 220483 6.342 28 OPT 28 220483 9.517 28 OPT 28 340793 568.23 28.0 OPT 28.0 1093180 1200 28 FEAS 0 291629757 1042.77 28.0 OPT 28.0 3180516 1.737 28 OPT 28 36972
esc16f 16 1 137 16 0.015 0 OPT 0 13 0.015 0 OPT 0 13 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.0125849 0.0 OPT 0.0 0 0.0 0 OPT 0 2 0.13 0.0 OPT 0.0 0 0.01 0 OPT 0 13
esc16g 16 9 137 16 1.199 26 OPT 26 29252 0.762 26 OPT 26 18511 1.189 26 OPT 26 36510 1.272 26 OPT 26 39247 1.272 26 OPT 26 39247 1.17 26 OPT 26 36510 1200 26.0 FEAS 16.0 3606701 1200 26 FEAS 0 288595295 303.03 26.0 OPT 26.0 898042 0.938 26 OPT 26 19331
esc16h 16 5 137 16 1200 996 FEAS 760 31166288 1200 996 FEAS 760 27724892 0.516 996 OPT 996 11760 0.466 996 OPT 996 10571 0.466 996 OPT 996 10571 0.933 996 OPT 996 21115 1200 996.0 FEAS 210.0 513433 1200 996 FEAS 0 87184184 1200.0 996.0 FEAS 329.61538462 3832827 1200 996 FEAS 168 16884607
esc16i 16 10 137 16 0.305 14 OPT 14 13048 0.325 14 OPT 14 13558 62.711 14 OPT 14 3416877 39.872 14 OPT 14 2062103 39.872 14 OPT 14 2062103 62.226 14 OPT 14 3416877 122.412 14.0 OPT 14.0 327786 1200 14 FEAS 0 311380287 129.79 14.0 OPT 14.0 266010 1.26 14 OPT 14 34697
esc16j 16 7 137 16 0.046 8 OPT 8 1148 0.045 8 OPT 8 1068 0.873 8 OPT 8 42423 0.564 8 OPT 8 26300 0.564 8 OPT 8 26300 0.774 8 OPT 8 36151 9.49063 8.0 OPT 8.0 41766 1200 8 FEAS 0 329531532 110.72 8.0 OPT 8.0 210020 0.069 8 OPT 8 1437
esc32a 32 26 529 32 1200 132 FEAS 43 3895352 1200 132 FEAS 43 4574272 1200 144 FEAS 35 7271158 1200 140 FEAS 35 6871904 1200 140 FEAS 35 6871904 1200 146 FEAS 35 7034089 1200 142.0 FEAS 32.0 1683943 1200 130 FEAS 0 218539342 1200.0 414.0 FEAS 0.0 247418 1200 132 FEAS 6 3427061
esc32b 32 25 529 32 1200 168 FEAS 96 3038916 1200 168 FEAS 96 3376479 1200 184 FEAS 101 5653520 1200 168 FEAS 96 5053857 1200 168 FEAS 96 5053857 1200 184 FEAS 101 5661368 1200 220.0 FEAS 4.0 1118366 1200 168 FEAS 0 167996019 1200.0 500.0 FEAS 0.0 240836 1200 184 FEAS 10 3137601
esc32c 32 10 529 32 1200 642 FEAS 381 8631059 1200 642 FEAS 381 8837509 1200 642 FEAS 429 9899188 1200 642 FEAS 429 10509704 1200 642 FEAS 429 10509704 1200 642 FEAS 424 9580155 1200 644.0 FEAS 0.0 885567 1200 642 FEAS 0 118893851 1200.0 968.0 FEAS 0.0 249210 1200 642 FEAS 32 4481032
esc32d 32 13 529 32 1200 200 FEAS 110 5989073 1200 200 FEAS 110 6565195 1200 202 FEAS 106 9778410 1200 200 FEAS 106 10329774 1200 200 FEAS 106 10329774 1200 202 FEAS 106 9767764 1200 208.0 FEAS 6.0 1395136 1200 200 FEAS 0 180274171 1200.0 334.0 FEAS 0.0 231515 1200 200 FEAS 18 3862848
esc32e 32 6 529 32 0.176 2 OPT 2 135 0.166 2 OPT 2 135 834.629 2 OPT 2 44596167 731.492 2 OPT 2 33569439 731.492 2 OPT 2 33569439 837.759 2 OPT 2 44596167 1.61467 2.0 OPT 2.0 96403 1200 2 FEAS 0 335719890 1200.0 42.0 FEAS 0.0 218572 0.155 2 OPT 2 507
esc32g 32 7 529 32 0.526 6 OPT 6 9041 0.584 6 OPT 6 10767 53.169 6 OPT 6 2435038 29.535 6 OPT 6 1237252 29.535 6 OPT 6 1237252 53.655 6 OPT 6 2435038 2.08366 6.0 OPT 6.0 72415 1200 6 FEAS 0 336487120 1200.0 50.0 FEAS 0.0 216738 2.083 6 OPT 6 16864
esc32h 32 14 529 32 1200 438 FEAS 274 10574570 1200 438 FEAS 274 9232881 1200 438 FEAS 324 5624472 1200 438 FEAS 330 6219875 1200 438 FEAS 330 6219875 1200 438 FEAS 319 5827713 1200 470.0 FEAS 0.0 771856 1200 438 FEAS 0 126921783 1200.0 670.0 FEAS 0.0 230124 1200 440 FEAS 34 3969606
esc64a 64 15 2081 64 1200 116 FEAS 47 4619046 1200 116 FEAS 47 4573918 1200 116 FEAS 47 10126016 1200 116 FEAS 47 11389560 1200 116 FEAS 47 11389560 1200 116 FEAS 47 10330189 1200 116.0 FEAS 0.0 3389861 1200 116 FEAS 0 214531659 1200.0 ? UNK 0.0 130723 1200 116 FEAS 0 1187767
had12 12 12 79 12 0.238 1652 OPT 1652 2489 0.192 1652 OPT 1652 1779 0.162 1652 OPT 1652 2329 0.115 1652 OPT 1652 1466 0.119 1652 OPT 1652 1466 0.187 1652 OPT 1652 2366 1200 1660.0 FEAS 1622.0 1359800 1200 1652 FEAS 0 150880179 1200.0 1676.0 FEAS 1371.8662752 7444554 79.206 1652 OPT 1652 1773713
had14 14 14 106 14 1.616 2724 OPT 2724 15099 1.007 2724 OPT 2724 8569 1.099 2724 OPT 2724 10672 0.85 2724 OPT 2724 8686 1.104 2724 OPT 2724 9138 0.712 2724 OPT 2724 5037 1200 2744.0 FEAS 820.0 595930 1200 2724 FEAS 0 126990072 1200.0 2788.0 FEAS 1854.6177724 4878985 1200 2728 FEAS 2126 15426221
had16 16 16 137 16 102.093 3720 OPT 3720 800939 83.231 3720 OPT 3720 674742 63.964 3720 OPT 3720 476648 38.912 3720 OPT 3720 293750 37.676 3720 OPT 3720 220360 39.652 3720 OPT 3720 263677 1200 3720.0 FEAS 928.0 366079 1200 3720 FEAS 0 109545086 1200.0 3880.0 FEAS 1770.0349193 1813561 1200 3732 FEAS 2268 13427658
had18 18 18 172 18 1200 5358 FEAS 5128 6466200 1200 5358 FEAS 5145 7082528 1200 5360 FEAS 5107 6695150 1095.351 5358 OPT 5358 6349035 1200 5358 FEAS 5186 5074255 1200 5358 FEAS 5141 6398251 1200 5376.0 FEAS 1306.0 390014 1200 5358 FEAS 0 95507533 1200.0 5616.0 FEAS 2347.1421362 1973290 1200 5400 FEAS 2850 11736317
had20 20 20 211 20 1200 6922 FEAS 6595 4621966 1200 6924 FEAS 6597 5295159 1200 6928 FEAS 6554 4940309 1200 6922 FEAS 6568 5755411 1200 6926 FEAS 6560 3939827 1200 6924 FEAS 6591 4803497 1200 6974.0 FEAS 1606.0 381572 1200 6922 FEAS 0 90540374 1200.0 7336.0 FEAS 2948.2973074 1328174 1200 7022 FEAS 3588 8976987
kra30a 30 30 466 30 1200 92000 FEAS 74160 1302501 1200 91200 FEAS 74110 1187322 1200 91490 FEAS 72127 1220215 1200 91000 FEAS 72319 1347644 1200 90720 FEAS 72471 1104668 1200 91770 FEAS 73974 913356 1200 99240.0 FEAS 0.0 132586 1200 88900 FEAS 0 61042289 1200.0 132170.0 FEAS 0.0 340705 1200 96860 FEAS 400 6936597
kra30b 30 30 466 30 1200 92750 FEAS 74539 1093072 1200 93970 FEAS 74600 1384337 1200 93390 FEAS 73286 1370036 1200 93550 FEAS 73218 1654571 1200 93240 FEAS 73060 1325029 1200 93390 FEAS 74847 980581 1200 98570.0 FEAS 0.0 142688 1200 91420 FEAS 0 58430105 1200.0 134490.0 FEAS 0.0 326131 1200 99510 FEAS 400 6182088
kra32 32 28 529 32 1200 93170 FEAS 72472 1008828 1200 89700 FEAS 72439 996207 1200 91620 FEAS 69660 1844061 1200 91520 FEAS 69670 2012028 1200 91520 FEAS 69670 2012028 1200 92860 FEAS 72305 1526311 1200 92820.0 FEAS 36400.0 834727 1200 88700 FEAS 0 126656911 1200.0 115470.0 FEAS 0.0 330569 1200 91450 FEAS 39100 1759249
lipa20a 20 20 211 20 1.121 3683 OPT 3683 3311 0.963 3683 OPT 3683 3004 0.297 3683 OPT 3683 2163 0.112 3683 OPT 3683 382 0.238 3683 OPT 3683 1424 0.184 3683 OPT 3683 409 1200 3683.0 FEAS 436.0 403467 1200 3683 FEAS 0 88237288 1200.0 3837.0 FEAS 1442.0892586 1040554 1200 3789 FEAS 1803 17791880
lipa20b 20 20 211 20 0.354 27076 OPT 27076 20 0.339 27076 OPT 27076 20 0.158 27076 OPT 27076 21 0.147 27076 OPT 27076 21 0.148 27076 OPT 27076 21 0.233 27076 OPT 27076 21 1200 27076.0 FEAS 3996.0 387279 1200 27076 FEAS 0 88364545 1200.0 31689.0 FEAS 13227.299756 1446690 1200 29537 FEAS 15602 5355319
lipa30a 30 29 466 30 6.992 13178 OPT 13178 13191 4.665 13178 OPT 13178 8960 10.735 13178 OPT 13178 40303 56.014 13178 OPT 13178 170889 56.014 13178 OPT 13178 170889 7.008 13178 OPT 13178 19009 1200 13456.0 FEAS 441.0 219533 1200 13178 FEAS 0 60154958 1200.0 13853.0 FEAS 0.0 329551 1200 13488 FEAS 5063 7183233
lipa30b 30 30 466 30 1.74 151426 OPT 151426 32 1.62 151426 OPT 151426 32 0.816 151426 OPT 151426 31 0.756 151426 OPT 151426 31 0.769 151426 OPT 151426 31 1.029 151426 OPT 151426 30 1200 180793.0 FEAS 3786.0 151650 1200 151426 FEAS 0 60297008 1200.0 195159.0 FEAS 67909.230197 271805 1200 178391 FEAS 69150 2802842
lipa40a 40 40 821 40 25.09 31538 OPT 31538 12544 82.018 31538 OPT 31538 55350 3.613 31538 OPT 31538 5268 4.81 31538 OPT 31538 7729 7.109 31538 OPT 31538 16788 4.281 31538 OPT 31538 6733 1200 32198.0 FEAS 262.0 79674 1200 31895 FEAS 0 41588511 1200.0 32659.0 FEAS 0.0 182897 1200 32136 FEAS 9758 2665308
lipa40b 40 40 821 40 5.47 476581 OPT 476581 46 5.079 476581 OPT 476581 46 2.935 476581 OPT 476581 45 2.711 476581 OPT 476581 45 2.727 476581 OPT 476581 45 3.682 476581 OPT 476581 43 1200 587785.0 FEAS 537.0 105435 1200 476581 FEAS 0 43865931 1200.0 630263.0 FEAS 0.0 205213 1200 575149 FEAS 176938 941860
lipa50a 50 50 1276 50 1200 62685 FEAS 62061 811750 1200 62761 FEAS 62053 1056239 185.321 62093 OPT 62093 303334 108.252 62093 OPT 62093 245422 269.592 62093 OPT 62093 422790 57.611 62093 OPT 62093 65554 1200 63557.0 FEAS 6.0 29268 1200 62730 FEAS 0 35563904 1200.0 64024.0 FEAS 0.0 161822 1200 63373 FEAS 15478 2529756
lipa50b 50 50 1276 50 14.901 1210244 OPT 1210244 61 13.856 1210244 OPT 1210244 61 8.16 1210244 OPT 1210244 58 7.657 1210244 OPT 1210244 58 7.724 1210244 OPT 1210244 58 10.252 1210244 OPT 1210244 54 1200 1510521.0 FEAS 186.0 28033 1200 1210244 FEAS 0 32794547 1200.0 1567576.0 FEAS 0.0 185693 1200 1478562 FEAS 354696 602506
lipa60a 60 60 1831 60 1200 107908 FEAS 107156 378124 1200 108077 FEAS 107152 588535 96.261 107218 OPT 107218 115967 304.726 107218 OPT 107218 479057 158.444 107218 OPT 107218 204435 22.148 107218 OPT 107218 13522 1200 109437.0 FEAS 2.0 8971 1200 108188 FEAS 0 27943401 1200.0 110204.0 FEAS 0.0 91633 1200 109290 FEAS 21031 1038036
lipa60b 60 60 1831 60 35.076 2520135 OPT 2520135 72 32.407 2520135 OPT 2520135 72 13.067 2520135 OPT 2520135 69 11.907 2520135 OPT 2520135 69 12.127 2520135 OPT 2520135 69 17.546 2520135 OPT 2520135 68 1200 3214082.0 FEAS 82.0 4685 1200 2989726 FEAS 0 27498279 1200.0 3284471.0 FEAS 0.0 107335 1200 3088059 FEAS 582922 186195
lipa70a 70 70 2486 70 1200 171064 FEAS 169632 322239 1200 171334 FEAS 169629 423348 1200 169833 FEAS 169754 611722 1073.522 169755 OPT 169755 812918 1200 171148 FEAS 169751 1055451 182.724 169755 OPT 169755 82711 1200 ? UNK 2.0 5998 1200 171134 FEAS 0 21420816 1200.0 ? UNK 0.0 58111 1200 172440 FEAS 31869 240701
lipa70b 70 70 2486 70 69.094 4603200 OPT 4603200 198 62.693 4603200 OPT 4603200 198 25.96 4603200 OPT 4603200 80 23.1 4603200 OPT 4603200 80 24.599 4603200 OPT 4603200 80 35.68 4603200 OPT 4603200 75 1200 ? UNK 109.0 7568 1200 5508080 FEAS 0 22870582 1200.0 ? UNK 0.0 88704 1200 5702567 FEAS 1043155 62458
lipa80a 80 80 3241 80 1200 255183 FEAS 252783 241476 1200 255102 FEAS 252789 271821 1200 255336 FEAS 253180 683086 1200 255497 FEAS 253184 732916 1200 255494 FEAS 253183 649990 1200 253265 FEAS 253192 206247 1200 ? UNK 4.0 20 1200 255016 FEAS 0 21596097 1200.0 ? UNK 0.0 31464 1200 256939 FEAS 36139 108339
lipa80b 80 80 3241 80 128.965 7763962 OPT 7763962 97 117.129 7763962 OPT 7763962 97 49.948 7763962 OPT 7763962 91 46.085 7763962 OPT 7763962 91 46.74 7763962 OPT 7763962 91 68.264 7763962 OPT 7763962 88 1200 ? UNK 178.0 20 1200 9355874 FEAS 0 21365323 1200.0 ? UNK 0.0 60306 1200 9843604 FEAS 1389931 9323
lipa90a 90 90 4096 90 1200 363190 FEAS 360279 158734 1200 363362 FEAS 360282 189856 137.791 360630 OPT 360630 25125 629.834 360630 OPT 360630 285678 705.243 360630 OPT 360630 207043 106.88 360630 OPT 360630 14210 1200 ? UNK 0.0 0 1200 363078 FEAS 0 18402722 1200.0 ? UNK 0.0 20414 1200 365681 FEAS 53055 42939
lipa90b 90 90 4096 90 260.081 12490441 OPT 12490441 335 230.669 12490441 OPT 12490441 335 87.237 12490441 OPT 12490441 100 80.455 12490441 OPT 12490441 100 81.141 12490441 OPT 12490441 100 119.526 12490441 OPT 12490441 98 1200 ? UNK 0.0 0 1200 15111755 FEAS 0 17235199 1200.0 ? UNK 0.0 45844 1200 15929305 FEAS 2256929 3493
