Problem nbvar max_dom nbconstr max_arity tb2_glb_snc_lap_cputime tb2_glb_snc_lap_bestsol tb2_glb_snc_lap_status tb2_glb_snc_lap_bestbound tb2_glb_snc_lap_nbnodes tb2_glb_sap_cputime tb2_glb_sap_bestsol tb2_glb_sap_status tb2_glb_sap_bestbound tb2_glb_sap_nbnodes tb2_glb_sap_wdeg_cputime tb2_glb_sap_wdeg_bestsol tb2_glb_sap_wdeg_status tb2_glb_sap_wdeg_bestbound tb2_glb_sap_wdeg_nbnodes tb2_glb_sap_wdeg_camb_10_cputime tb2_glb_sap_wdeg_camb_10_bestsol tb2_glb_sap_wdeg_camb_10_status tb2_glb_sap_wdeg_camb_10_bestbound tb2_glb_sap_wdeg_camb_10_nbnodes tb2_glb_snc_sap_cputime tb2_glb_snc_sap_bestsol tb2_glb_snc_sap_status tb2_glb_snc_sap_bestbound tb2_glb_snc_sap_nbnodes tb2_glb_snc_sap_wdeg_cputime tb2_glb_snc_sap_wdeg_bestsol tb2_glb_snc_sap_wdeg_status tb2_glb_snc_sap_wdeg_bestbound tb2_glb_snc_sap_wdeg_nbnodes ortools_cpsat_cputime ortools_cpsat_bestsol ortools_cpsat_status ortools_cpsat_bestbound ortools_cpsat_nbnodes hexaly_cputime hexaly_bestsol hexaly_status hexaly_bestbound hexaly_nbnodes
chr18b 18 18 172 18 0.027 1534 OPT 1534 185 0.107 1534 OPT 1534 3422 0.208 1534 OPT 1534 8599 0.264 1534 OPT 1534 9849 0.114 1534 OPT 1534 3422 0.212 1534 OPT 1534 8599 14.977 1534.0 OPT 1534.0 24188 1200 1534 FEAS 0 329726209
chr20a 20 20 211 20 0.086 2192 OPT 2192 503 6.914 2192 OPT 2192 199705 6.58 2192 OPT 2192 190350 6.523 2192 OPT 2192 171057 6.041 2192 OPT 2192 167611 4.475 2192 OPT 2192 132726 19.7073 2192.0 OPT 2192.0 65799 1200 2224 FEAS 0 333657296
chr20b 20 20 211 20 0.503 2298 OPT 2298 5085 7.477 2298 OPT 2298 213233 30.583 2298 OPT 2298 814660 7.901 2298 OPT 2298 188770 6.815 2298 OPT 2298 180042 7.745 2298 OPT 2298 194127 33.0859 2298.0 OPT 2298.0 60380 1200 2372 FEAS 0 309457042
chr20c 20 20 211 20 0.271 14142 OPT 14142 650 19.389 14142 OPT 14142 246505 21.098 14142 OPT 14142 327345 22.0 14142 OPT 14142 233507 15.308 14142 OPT 14142 112144 19.378 14142 OPT 14142 179176 16.4914 14142.0 OPT 14142.0 18024 1200 14142 FEAS 0 328347303
chr22a 22 22 254 22 0.566 6156 OPT 6156 546 3.185 6156 OPT 6156 40614 2.367 6156 OPT 6156 32798 5.734 6156 OPT 6156 64167 3.208 6156 OPT 6156 16357 1.508 6156 OPT 6156 10566 279.679 6156.0 OPT 6156.0 1179434 1200 6268 FEAS 0 326590703
chr22b 22 22 254 22 1.276 6194 OPT 6194 7112 56.694 6194 OPT 6194 695491 25.155 6194 OPT 6194 312732 33.244 6194 OPT 6194 311916 36.9 6194 OPT 6194 292325 11.711 6194 OPT 6194 81526 269.838 6194.0 OPT 6194.0 1061659 1200 6384 FEAS 0 331152522
chr25a 25 25 326 25 14.269 3796 OPT 3796 41734 303.458 3796 OPT 3796 2157152 313.167 3796 OPT 3796 2448144 198.344 3796 OPT 3796 1327897 64.824 3796 OPT 3796 288968 56.134 3796 OPT 3796 256751 161.141 3796.0 OPT 3796.0 486119 1200 4180 FEAS 0 336615637
els19 19 19 191 19 6.012 17212548 OPT 17212548 14423 0.263 17212548 OPT 17212548 376 0.246 17212548 OPT 17212548 286 0.261 17212548 OPT 17212548 350 0.577 17212548 OPT 17212548 227 0.555 17212548 OPT 17212548 226 1200 17367328.0 FEAS 7500348.0 372824 1200 17212548 FEAS 0 97601573
esc16a 16 9 137 16 124.289 68 OPT 68 3231904 7.883 68 OPT 68 203330 7.488 68 OPT 68 196975 7.488 68 OPT 68 196975 3.574 68 OPT 68 91448 6.188 68 OPT 68 146667 1200 68.0 FEAS 24.0 2359914 1200 68 FEAS 0 220249272
esc16b 16 7 137 16 1200 292 FEAS 246 46789505 11.053 292 OPT 292 392111 11.013 292 OPT 292 365972 11.013 292 OPT 292 365972 15.116 292 OPT 292 539358 14.762 292 OPT 292 486797 1200 292.0 FEAS 68.0 916642 1200 292 FEAS 0 100907975
esc16c 16 12 137 16 1200 160 FEAS 95 24284289 726.207 160 OPT 160 14695727 693.763 160 OPT 160 15021678 693.763 160 OPT 160 15021678 665.988 160 OPT 160 13543397 657.063 160 OPT 160 13339838 1200 160.0 FEAS 84.0 2589676 1200 160 FEAS 0 179560056
esc16d 16 12 137 16 6.383 16 OPT 16 231531 827.929 16 OPT 16 28254710 695.909 16 OPT 16 22675641 695.909 16 OPT 16 22675641 730.566 16 OPT 16 25096723 536.041 16 OPT 16 17770276 256.819 16.0 OPT 16.0 567268 1200 16 FEAS 0 282722299
esc16e 16 8 137 16 2.246 28 OPT 28 61123 9.415 28 OPT 28 340793 6.342 28 OPT 28 220483 6.342 28 OPT 28 220483 9.517 28 OPT 28 340793 6.189 28 OPT 28 199041 568.23 28.0 OPT 28.0 1093180 1200 28 FEAS 0 291629757
esc16f 16 1 137 16 0.015 0 OPT 0 13 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.001 0 OPT 0 0 0.0125849 0.0 OPT 0.0 0 0.0 0 OPT 0 2
esc16g 16 9 137 16 1.199 26 OPT 26 29252 1.189 26 OPT 26 36510 1.272 26 OPT 26 39247 1.272 26 OPT 26 39247 1.17 26 OPT 26 36510 1.148 26 OPT 26 36430 1200 26.0 FEAS 16.0 3606701 1200 26 FEAS 0 288595295
esc16h 16 5 137 16 1200 996 FEAS 760 31166288 0.516 996 OPT 996 11760 0.466 996 OPT 996 10571 0.466 996 OPT 996 10571 0.933 996 OPT 996 21115 1.174 996 OPT 996 26552 1200 996.0 FEAS 210.0 513433 1200 996 FEAS 0 87184184
esc16i 16 10 137 16 0.305 14 OPT 14 13048 62.711 14 OPT 14 3416877 39.872 14 OPT 14 2062103 39.872 14 OPT 14 2062103 62.226 14 OPT 14 3416877 39.177 14 OPT 14 1984993 122.412 14.0 OPT 14.0 327786 1200 14 FEAS 0 311380287
esc16j 16 7 137 16 0.046 8 OPT 8 1148 0.873 8 OPT 8 42423 0.564 8 OPT 8 26300 0.564 8 OPT 8 26300 0.774 8 OPT 8 36151 0.545 8 OPT 8 23205 9.49063 8.0 OPT 8.0 41766 1200 8 FEAS 0 329531532
esc32a 32 26 529 32 1200 132 FEAS 43 3895352 1200 144 FEAS 35 7271158 1200 140 FEAS 35 6871904 1200 140 FEAS 35 6871904 1200 146 FEAS 35 7034089 1200 140 FEAS 35 7072194 1200 142.0 FEAS 32.0 1683943 1200 130 FEAS 0 218539342
esc32b 32 25 529 32 1200 168 FEAS 96 3038916 1200 184 FEAS 101 5653520 1200 168 FEAS 96 5053857 1200 168 FEAS 96 5053857 1200 184 FEAS 101 5661368 1200 168 FEAS 101 6006440 1200 220.0 FEAS 4.0 1118366 1200 168 FEAS 0 167996019
esc32c 32 10 529 32 1200 642 FEAS 381 8631059 1200 642 FEAS 429 9899188 1200 642 FEAS 429 10509704 1200 642 FEAS 429 10509704 1200 642 FEAS 424 9580155 1200 642 FEAS 423 10048678 1200 644.0 FEAS 0.0 885567 1200 642 FEAS 0 118893851
